epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,16977.6,0.82641,0.46369,0.93723,0.93068,0.91287,0.9476,0.69819,0.94357,0.51513,0.97628,0.000363239,0.000363239,0.000363239
81,17183,0.84124,0.48678,0.94979,0.93988,0.90859,0.94902,0.70078,0.93564,0.51332,0.97549,0.000346736,0.000346736,0.000346736
82,17388,0.82595,0.46551,0.94184,0.93715,0.91262,0.95008,0.69963,0.9443,0.50576,0.98132,0.000330233,0.000330233,0.000330233
83,17593.2,0.8225,0.46175,0.93577,0.94532,0.90611,0.94921,0.69609,0.94518,0.50752,0.98261,0.000313729,0.000313729,0.000313729
84,17799.3,0.81915,0.45758,0.93141,0.94716,0.91083,0.95157,0.69648,0.94145,0.51047,0.97994,0.000297226,0.000297226,0.000297226
85,18004.1,0.8131,0.45506,0.92892,0.94137,0.90881,0.94721,0.69424,0.93938,0.51885,0.97785,0.000280723,0.000280723,0.000280723
86,18211.4,0.8107,0.44834,0.93176,0.95141,0.90092,0.95073,0.70069,0.93636,0.50977,0.97657,0.00026422,0.00026422,0.00026422
87,18418.2,0.81087,0.44659,0.93151,0.9419,0.90418,0.9495,0.69936,0.93842,0.51403,0.97539,0.000247716,0.000247716,0.000247716
88,18624.1,0.81172,0.44409,0.92896,0.93692,0.90775,0.94853,0.6984,0.94095,0.51532,0.97494,0.000231213,0.000231213,0.000231213
89,18829.6,0.80276,0.44673,0.92902,0.94867,0.8943,0.94672,0.69827,0.94185,0.51793,0.97649,0.00021471,0.00021471,0.00021471
90,19035.2,0.79404,0.43199,0.92446,0.93771,0.91019,0.94845,0.69889,0.9389,0.51314,0.97577,0.000198206,0.000198206,0.000198206
91,19245.3,0.78869,0.40301,0.90545,0.95445,0.88908,0.94498,0.69255,0.94783,0.52015,0.98003,0.000181703,0.000181703,0.000181703
92,19448.8,0.78297,0.39683,0.90296,0.94337,0.89525,0.94533,0.69238,0.94965,0.51613,0.98152,0.0001652,0.0001652,0.0001652
93,19651.7,0.77468,0.38975,0.90045,0.94965,0.89203,0.947,0.69259,0.94537,0.51707,0.97936,0.000148696,0.000148696,0.000148696
94,19854.6,0.7712,0.39035,0.90119,0.94149,0.89563,0.94767,0.69328,0.9461,0.51448,0.97911,0.000132193,0.000132193,0.000132193
95,20058.3,0.77509,0.38583,0.90377,0.93362,0.90793,0.94669,0.69439,0.94908,0.51695,0.97525,0.00011569,0.00011569,0.00011569
96,20263.3,0.76528,0.37912,0.8988,0.93556,0.90794,0.94841,0.69345,0.94676,0.51752,0.97607,9.91865e-05,9.91865e-05,9.91865e-05
97,20467,0.7592,0.37817,0.89558,0.94339,0.90335,0.94891,0.69217,0.94646,0.51715,0.97705,8.26832e-05,8.26832e-05,8.26832e-05
98,20674.3,0.76129,0.37533,0.89764,0.9362,0.90892,0.94512,0.69084,0.94851,0.51875,0.9787,6.61799e-05,6.61799e-05,6.61799e-05
99,20881.9,0.75985,0.37592,0.89438,0.93838,0.90178,0.94409,0.6903,0.94758,0.51459,0.97845,4.96766e-05,4.96766e-05,4.96766e-05
100,21089.8,0.75713,0.3685,0.89304,0.93272,0.91037,0.94582,0.69149,0.94852,0.51357,0.97947,3.31733e-05,3.31733e-05,3.31733e-05
